°ê®a¦a°Ï,­^¤å¦WºÙ,®É°Ï,®L¥O®É¶¡,³Æµù
¦ò¼w¨¤,Republic of Cape Verde,UTC -1:00,--,
¥¬¦N¯Çªk¯Á,Burkina Faso,UTC +0:00,--,
¦è¯Z¤ú ¥[¨º§Q¸s®q,Canary Islands (Islas Canarias),UTC +0:00,UTC +1:00,
¸t¦h¬ü´¶ªL¦è¤ñ,Democratic Republic of Sao Tome and Principe,UTC +0:00,--,
­T§Q¶ð¥§¨È,Islamic Republic of Mauritania,UTC +0:00,--,
¬ì¯S­}¥Ë,Ivory Coast,UTC +0:00,--,
¼¯¬¥­ô,Kingdom of Morocco,UTC +0:00,--,
­{¯Ç,Republic of Ghana,UTC +0:00,--,
´X¤º¨È¦@©M°ê,Republic of Guine,UTC +0:00,--,
´X¤º¨È¤ñ¯Á¦@©M°ê,Republic of Guinea-Bissau,UTC +0:00,--,
¿à¤ñ·ç¨È,Republic of Liberia,UTC +0:00,--,
°¨§Q,Republic of Mali,UTC +0:00,--,
¶ë¤º¥[º¸,Republic of Senegal,UTC +0:00,--,
·à¤l¤s,Republic of Sierra Leone,UTC +0:00,--,
¥Ì¤ñ¨È,Republic of The Gambia,UTC +0:00,--,
¸t»®­Û¨º,Saint Helena,UTC +0:00,--,
¦h­ô,Togolese Republic,UTC +0:00,--,
¦è¼»«¢©Ô,Western Sahara,UTC +0:00,--,
¤¤«D¦@©M°ê,Central African Republic,UTC +1:00,--,
­èªG¥Á¥D¦@©M°ê-¼Ú¬w¤¤³¡®É°Ï,Democratic Republic of the Congo-CET,UTC +1:00,--,ª÷®L¨F¡B¨ª¹D¬Ù¡B¤U­èªG¬Ù¡B¯Z¹y§ù¬Ù
©`¤Î§Q¨È,Federal Republic of Nigeria,UTC +1:00,--,
¥[´^,Gabonese Republic,UTC +1:00,--,
ªüº¸¤Î§Q¨È,People's Democratic Republic of Algeria,UTC +1:00,--,
¦w­ô©Ô,Republic of Angola,UTC +1:00,--,
¨©«n,Republic of Benin,UTC +1:00,--,
³Ø³Á¶©,Republic of Cameroon,UTC +1:00,--,
¬d¼w,Republic of Chad,UTC +1:00,--,
¨ª¹D´X¤º¨È,Republic of Equatorial Guinea,UTC +1:00,--,
¯Ç¦Ì¤ñ¨È,Republic of Namibia,UTC +1:00,UTC +2:00,
¥§¤é,Republic of Niger,UTC +1:00,--,
­èªG¦@©M°ê,Republic of the Congo,UTC +1:00,--,
¬ð¥§¦è¨È,Tunisian Republic,UTC +1:00,UTC +2:00,
®J¤Î,Arab Republic of Egypt,UTC +2:00,UTC +3:00,
­èªG¥Á¥D¦@©M°ê-¼Ú¬wªF³¡®É°Ï,Democratic Republic of the Congo-EET,UTC +2:00,--,¦è¶}ÁÉ¬Ù¡BªF¶}ÁÉ¬Ù¡B¥[¤¦¥[¬Ù¡B°¨¥§®J°¨¬Ù¡B¥_°ò¥î¬Ù¡BªF¤è¬Ù¡B«n°ò¥î¬Ù
¿à¯Á¦«,Kingdom of Lesotho,UTC +2:00,--,
¥v¥ËÀÙÄõ,Kingdom of Swaziland,UTC +2:00,--,
ªi¥¾¨º,Republic of Botswana,UTC +2:00,--,
»Z¶©¦a,Republic of Burundi,UTC +2:00,--,
°¨©Ô«Â,Republic of Malawi,UTC +2:00,--,
²ö¤T¤ñ§J,Republic of Mozambique,UTC +2:00,--,
¿c¦w¹F,Republic of Rwanda,UTC +2:00,--,
«n«D¦@©M°ê,Republic of South Africa,UTC +2:00,--,
©|¤ñ¨È,Republic of Zambia,UTC +2:00,--,
¨¯¤Ú«Â,Republic of Zimbabwe,UTC +2:00,--,
§Q¤ñ¨È,Socialist People's Libyan Arab Great Jamahiriya,UTC +2:00,--,
¦ç¯Á¤ñ¨È,Federal Democratic Republic of Ethiopia,UTC +3:00,--,
°¨¬ù¯S,Mayotte,UTC +3:00,--,
¦N¥¬´£,Republic of Djibouti,UTC +3:00,--,
ªÖ¨È,Republic of Kenya,UTC +3:00,--,
°¨¹F¥[´µ¥[,Republic of Madagascar,UTC +3:00,--,
¯Á°¨§Q¨È,Republic of Somalia,UTC +3:00,--,
Ä¬¤¦,Republic of Sudan,UTC +3:00,--,
¯Q¤z¹F,Republic of Uganda,UTC +3:00,--,
¤Ì§Q««¨È,State of Eritrea,UTC +3:00,--,
¸¯¼¯,Union of the Comoros,UTC +3:00,--,
©Z©|¥§¨È,United Republic of Tanzania ,UTC +3:00,--,
¼Ò¨½¦è´µ,Republic of Mauritius,UTC +4:00,--,
¶ë®uº¸,Republic of Seychelles,UTC +4:00,--,
¯d¥§©ô,Reunion,UTC +4:00,--,
