國家地區,英文名稱,時區,夏令時間,備註
約旦,Hashemite Kingdom of Jordan,UTC +2:00,UTC +3:00,
黎巴嫩,Lebanese Republic,UTC +2:00,UTC +3:00,
以色列,State of Israel,UTC +2:00,UTC +3:00,
巴勒斯坦,State of Palestine,UTC +2:00,UTC +3:00,
敘利亞,Syrian Arab Republic,UTC +2:00,UTC +3:00,
巴林,Kingdom of Bahrain,UTC +3:00,--,
沙烏地阿拉伯,Kingdom of Saudi Arabia,UTC +3:00,--,
伊拉克,Republic of Iraq,UTC +3:00,UTC +4:00,
葉門,Republic of Yemen,UTC +3:00,--,
科威特,State of Kuwait,UTC +3:00,--,
卡達,State of Qatar,UTC +3:00,--,
阿拉伯聯合大公國,United Arab Emirates,UTC +3:00,--,
伊朗,Islamic Republic of Iran,UTC +3:30,--,
喬治亞,Georgia,UTC +4:00,--,
亞美尼亞,Republic of Armenia,UTC +4:00,UTC +5:00,
亞塞拜然,Republic of Azerbaijan,UTC +4:00,UTC +5:00,
阿曼,Sultanate of Oman,UTC +4:00,--,
阿富汗,Islamic Republic of Afghanistan,UTC +4:30,--,
巴基斯坦,Islamic Republic of Pakistan,UTC +5:00,--,
哈薩克-西部,Republic of Kazakhstan-Western,UTC +5:00,--,西部
馬爾地夫,Republic of Maldives,UTC +5:00,--,
塔吉克,Republic of Tajikistan,UTC +5:00,--,
烏茲別克,Republic of Uzbekistan,UTC +5:00,--,
土庫曼,Turkmenistan,UTC +5:00,--,
斯里蘭卡,Democratic Socialist Republic of Sri Lanka,UTC +5:30,--,
印度,Republic of India,UTC +5:30,--,
尼泊爾,Federal Democratic Republic of Nepal,UTC +5:45,--,
不丹,Kingdom of Bhutan,UTC +6:00,--,
吉爾吉斯,Kyrgyz Republic,UTC +6:00,--,
孟加拉,People's Republic of Bangladesh,UTC +6:00,--,
哈薩克-東部,Republic of Kazakhstan-Eastern,UTC +6:00,--,東部
緬甸,Republic of The Union of Myanmar,UTC +6:30,--,
印尼-西部,Indonesia-Western,UTC +7:00,--,西部 (蘇門達臘Sumatera、爪哇Java、西加里曼丹Kalimantan Barat、中加里曼丹Kalimantan Tengah)
柬埔寨,Kingdom of Cambodia,UTC +7:00,--,
泰國,Kingdom of Thailand,UTC +7:00,--,
寮國,Lao People's Democratic Republic,UTC +7:00,--,
蒙古國,Mongolia,UTC +7:00,UTC +8:00,科布多省、烏布蘇省、巴彥烏列蓋省
越南,Socialist Republic of Vietnam,UTC +7:00,--,
香港,Hong Kong Special,UTC +8:00,--,
印尼-中部,Indonesia-Central (CST),UTC +8:00,--,中部 (蘇拉威西Sulawesi、巴里島Bali、西努沙登加拉Nusa Tenggara Barat、東努沙登加拉Nusa Tenggara Barat、東加里曼丹Kota Samarinda、南加里曼丹Kalimantan Utara)
澳門,Macau Special Administrative Regio,UTC +8:00,--,
馬來西亞,Malaysia,UTC +8:00,--,
中國,People's Republic of China,UTC +8:00,--,
新加坡,Republic of Singapore,UTC +8:00,--,
菲律賓,Republic of the Philippines,UTC +8:00,--,
汶萊,State of Brunei Darussalam,UTC +8:00,--,
台澎金馬,Taiwan,UTC +8:00,--,
朝鮮,Democratic People's Republic of Korea,UTC +9:00,--,
東帝汶,Democratic Republic of East Timor,UTC +9:00,--,
印尼-東部,Indonesia-Eastern (KST),UTC +9:00,--,東部 (馬魯古、北馬魯古、巴布亞、西巴布亞)
日本,Japan,UTC +9:00,--,
韓國,Republic of Korea,UTC +9:00,--,
