°ê®a¦a°Ï,­^¤å¦WºÙ,®É°Ï,®L¥O®É¶¡,³Æµù
¨È­z¸s®q,Azores Autonomous Region,UTC -1:00,--,
®ü®l¸s®q,Channel Islands,UTC +0:00,UTC +1:00,
ªkÃ¹¸s®q,Faroe Islands,UTC +0:00,UTC +1:00,
°Ò®q,Isle of Man,UTC +0:00,UTC +1:00,
¸²µå¤ú,Portuguese Republic,UTC +0:00,UTC +1:00,
¦B®q,Republic of Iceland,UTC +0:00,--,
·Rº¸Äõ,Republic of Ireland,UTC +0:00,UTC +1:00,
­^°ê,United Kingdom (UK),UTC +0:00,UTC +1:00,
ªi¤h¥§¨È»®¶ë­ôºû¯Ç,Bosnia and Herzegovina (BH),UTC +1:00,UTC +2:00,
±¶§J,Czech Republic,UTC +1:00,UTC +2:00,
¼w°ê,Federal Republic of Germany,UTC +1:00,UTC +2:00,
ªk°ê,French Republic,UTC +1:00,UTC +2:00,
¿c´Ë³ù,Grand Duchy of Luxembourg,UTC +1:00,UTC +2:00,
¸q¤j§Q,Italian Republic,UTC +1:00,UTC +2:00,
¤ñ§Q®É,Kingdom of Belgium,UTC +1:00,UTC +2:00,
¤¦³Á, Kingdom of Denmark,UTC +1:00,UTC +2:00,
®¿«Â,Kingdom of Norway,UTC +1:00,UTC +2:00,
¦è¯Z¤ú,Kingdom of Spain,UTC +1:00,UTC +2:00,
·ç¨å,Kingdom of Sweden,UTC +1:00,UTC +2:00,
²üÄõ,Kingdom of the Netherlands,UTC +1:00,UTC +2:00,
¸t°¨§Q¿Õ,Most Serene Republic of San Marino ,UTC +1:00,UTC +2:00,
¦w¹Dº¸,Principality of Andorra,UTC +1:00,UTC +2:00,
¦C¤ä´°¤hµn,Principality of Liechtenstein,UTC +1:00,UTC +2:00,
¼¯¯Ç­ô,Principality of Monaco,UTC +1:00,UTC +2:00,
ªüº¸¤Ú¥§¨È,Republic of Albania,UTC +1:00,UTC +2:00,
¶ø¦a§Q,Republic of Austria,UTC +1:00,UTC +2:00,
§JÃ¹®J¦è¨È,Republic of Croatia,UTC +1:00,UTC +2:00,
¦I¤ú§Q,Republic of Hungary,UTC +1:00,UTC +2:00,
°¨¨ä¹y,Republic of Macedonia ,UTC +1:00,UTC +2:00,
°¨º¸¥L,Republic of Malta,UTC +1:00,UTC +2:00,
»X¯S¤º­ôÃ¹,Republic of Montenegro,UTC +1:00,UTC +2:00,
ªiÄõ,Republic of Poland,UTC +1:00,UTC +2:00,
¶ëº¸ºû¨È,Republic of Serbia,UTC +1:00,UTC +2:00,
´µ¬¥ºû¥§¨È,Republic of Slovenia,UTC +1:00,UTC +2:00,
´µ¬¥¥ï§J,Slovak Republic,UTC +1:00,UTC +2:00,
±ë¿Í©£,State of the Vatican City,UTC +1:00,UTC +2:00,
·ç¤h,Switzerland,UTC +1:00,UTC +2:00,
ª½¥¬Ã¹ªû,Gibraltar,UTC +2:00,UTC +3:00,
§ÆÃ¾,Hellenic Republic,UTC +2:00,UTC +3:00,
¥Õ«XÃ¹´µ,Republic of Belarus,UTC +2:00,UTC +3:00,
«O¥[§Q¨È,Republic of Bulgaria,UTC +2:00,UTC +3:00,
ÁÉ´¶°Ç´µ,Republic of Cyprus,UTC +2:00,UTC +3:00,
·R¨F¥§¨È,Republic of Estonia,UTC +2:00,UTC +3:00,
ªâÄõ,Republic of Finland,UTC +2:00,UTC +3:00,
©Ô²æºû¨È,Republic of Latvia,UTC +2:00,UTC +3:00,
¥ß³³©{,Republic of Lithuania,UTC +2:00,UTC +3:00,
¼¯º¸¦h¥Ë,Republic of Moldova,UTC +2:00,UTC +3:00,
¤g¦Õ¨ä,Republic of Turkiye,UTC +2:00,UTC +3:00,
Ã¹°¨¥§¨È,Romania,UTC +2:00,UTC +3:00,
¥_ÁÉ´¶°Ç´µ,Turkish Republic of Northern Cyprus ,UTC +2:00,UTC +3:00,
¯Q§JÄõ,Ukraine,UTC +2:00,UTC +3:00,
«XÃ¹´µ-¥[¨½¹ç®æ°Ç®É¶¡,Russian Federation-Kaliningrad,UTC +3:00,--, (¥[¨½¹ç®æ°Ç¦{)
«XÃ¹´µ-²ö´µ¬ì®É¶¡,Russian Federation-Moscow,UTC +4:00,--, (²ö´µ¬ì¡B¸t©¼±o³ù)
«XÃ¹´µ-¸­¥d¯S¨½³ù®É¶¡,Russian Federation-Yekaterinburg,UTC +6:00,--, (¸­¥d¯S¨½³ù®É¶¡)
«XÃ¹´µ-¶k¤ì´µ§J®É¶¡,Russian Federation-Omsk,UTC +7:00,--, (¶k¤ì´µ§J¡B·s¦è§B§Q¨È)
«XÃ¹´µ-§J©Ô´µ¿Õ¶®´µ§J®É¶¡,Russian Federation-Krasnoyarsk,UTC +8:00,--, (§J©Ô´µ¿Õ¶®´µ§J)
«XÃ¹´µ-¥ìº¸®w¯÷§J®É¶¡,Russian Federation-Irkutsk,UTC +9:00,--, (¥ìº¸®w¯÷§J)
«XÃ¹´µ-¶®®w¯÷§J®É¶¡,Russian Federation-Yakutsk,UTC +10:00,--, (¶®®w¯÷§J¡B¨ª¶ð)
«XÃ¹´µ-¥ñ©Ô­}¨U´µ¦«§J®É¶¡,Russian Federation-Vladivostok,UTC +11:00,--, («¢¤ÚÃ¹¤Ò´µ§J¡B¥ñ©Ô­}¨U´µ¦«§J¡B®w­¶®q)
«XÃ¹´µ-°¨¥[¤¦®É¶¡,Russian Federation-Magadan,UTC +12:00,--, (°¨¥[¤¦¡B³ô¹î¥[)
