國家地區,英文名稱,時區,夏令時間,備註
美屬薩摩亞,American Samoa,UTC -11:00,--,
紐埃,Niue,UTC -11:00,--,
紐西蘭 托克勞群島,Tokelau,UTC -11:00,--,
庫克群島,Cook Islands,UTC -10:00,--,
法屬玻里尼西亞-HAST,French Polynesia-HAST,UTC -10:00,--,社會群島、土阿莫土群島、南方群島
美國 夏威夷,State of Hawaii,UTC -10:00,--,
法屬玻里尼西亞-馬克薩斯群島,French Polynesia-Marquesas Islands,UTC -9:30,--,馬克薩斯群島
法屬玻里尼西亞-甘比爾群島,French Polynesia-Gambier Islands,UTC -9:00,--,甘比爾群島
智利 復活節島,Easter Island,UTC -6:00,UTC -5:00,
科科斯(基林)群島,Cocos (Keeling) Islands,UTC +6:30,--,東部時間 (昆士蘭州、新南威爾斯州、維多利亞州、塔斯馬尼亞州)
聖誕島,Christmas Island,UTC +7:00,--,
澳洲-西部標準時間,Australia-AWST,UTC +8:00,UTC +9:00,雅浦、丘克
帛琉,Republic of Palau,UTC +9:00,--,
澳洲-中部標準時間,Australia-ACST,UTC +9:30,UTC +10:30 (僅南澳大利亞州),
澳洲-東部標準時間,Australia-AEST,UTC +10:00,UTC +11:00 (除昆士蘭州),中部時間 (南澳大利亞州、北領地)
北馬里亞納群島,Commonwealth of the Northern Mariana Islands (CNMI),UTC +10:00,--,
密克羅尼西亞-雅浦、丘克,Federated States of Micronesia-Yap and Chuuk,UTC +10:00,--,西部時間 (西澳大利亞州)
巴布亞新幾內亞,Independent State of Papua New Guinea,UTC +10:00,--,
關島,Territory of Guam,UTC +10:00,--,
密克羅尼西亞-波納佩、科斯雷,Federated States of Micronesia-Kosrae and Pohnpei,UTC +11:00,--,萊恩群島
新喀里多尼亞,New Caledonia,UTC +11:00,--,
諾福克島,Norfolk lsland,UTC +11:00,--,
所羅門群島,Solomon Islands,UTC +11:00,--,鳳凰城群島
萬那杜,Vanuatu,UTC +11:00,--,
紐西蘭,New Zealand,UTC +12:00,UTC +13:00,吉爾伯特群島
吉里巴斯-吉爾伯特群島,Republic of Kiribati-Gilbert Islands,UTC +12:00,--,
諾魯,Republic of Nauru,UTC +12:00,--,
斐濟,Republic of the Fiji Islands,UTC +12:00,--,
馬紹爾群島,Republic of the Marshall Islands,UTC +12:00,--,
吐瓦魯,Tuvalu,UTC +12:00,--,
瓦利斯和富圖納群島,Wallis and Futuna,UTC +12:00,--,波納佩、科斯雷
薩摩亞,Independent State of Samoa,UTC +13:00,--,
東加,Kingdom of Tonga,UTC +13:00,--,
吉里巴斯-鳳凰城群島,Republic of Kiribati-Phoenix Islands,UTC +13:00,--,
吉里巴斯-萊恩群島,Republic of Kiribati-Line Islands,UTC +14:00,--,
